505,524
470,468
776,718
416,94
203,190
505,454
602,271
384,152
671,426
314,336
484,487
564,481
497,644
633,429
490,758
642,546
506,343
716,552
176,209
448,360
394,333
544,459
367,283
398,726
714,798
385,181
612,659
663,238
584,298
746,700
657,374
425,725
672,637
578,630
283,240
526,287
158,302
536,613
329,191
386,506
362,507
675,536
769,799
618,422
511,545
486,276
790,351
647,574
556,834
742,541
645,419
545,642
897,827
741,870
598,638
254,411
937,724
759,844
745,684
476,250
644,720
700,393
370,218
483,574
730,297
561,756
558,564
585,414
814,935
687,780
537,470
694,609
431,380
353,298
760,1041
648,624
506,462
485,468
498,267
483,294
614,444
660,586
802,705
497,516
394,336
652,626
574,272
899,864
543,650
516,699
468,198
687,830
695,485
636,898
293,26
659,759
770,485
760,459
641,709
322,479
779,430
819,769
602,623
704,599
580,399
730,719
701,435
769,874
399,340
796,577
733,603
622,611
430,579
530,607
576,459
254,99
321,209
672,978
476,318
421,157
573,815
572,448
273,351
633,679
692,452
591,336
415,441
518,494
289,178
781,822
515,606
410,614
520,726
624,595
371,638
648,453
756,312
684,728
701,389
280,385
460,451
379,610
506,374
635,870
488,409
529,604
654,581
544,630
563,508
704,607
667,649
677,719
545,573
528,605
634,614
595,394
344,526
458,601
661,487
360,339
380,697
891,829
594,457
396,258
571,391
643,607
829,773
398,750
412,323
771,631
659,568
517,200
276,367
773,600
460,683
481,384
287,642
703,467
470,160
758,663
432,344
780,815
310,494
552,344
486,279
523,360
530,553
442,526
493,451
658,311
360,572
291,316
669,757
443,382
838,545
724,413
574,521
691,685
568,441
596,463
507,692
703,581
657,527
620,579
426,390
518,273
481,393
563,568
383,401
326,248
282,345
558,605
499,568
815,763
613,668
435,311
220,118
584,674
559,448
770,240
788,476
820,790
349,2
547,663
543,305
502,411
590,211
454,417
411,281
485,321
529,467
612,512
504,489
454,766
743,731
476,283
481,480
667,372
397,278
653,453
386,492
727,881
671,311
869,842
688,122
699,983
465,356
420,231
243,426
147,532
